u_id,s_id,o_id,return_count,return_count nms,return_count similar,nonreturn_count,return_shape,return_budget
2157,338,1219,5,5,0,0,0,0
4354,338,1220,5,0,0,0,0,5
4333,2660,1218,5,2,1,0,1,1
4332,3314,1216,3,1,0,2,1,1
3587,2660,1229,5,3,0,0,2,0
3558,338,1227,4,2,1,1,1,0
3481,338,1228,2,2,0,3,0,0
4185,3314,1191,4,2,0,1,0,2
625,1865,1238,3,0,0,3,3,0
373,338,1230,3,2,0,2,1,0
3227,2660,1225,0,0,0,5,0,0
2854,761,1239,2,1,0,3,1,0
356,338,1241,2,1,0,3,0,1
3909,2660,1215,5,3,1,0,0,1
4443,3314,1240,4,1,1,1,2,0
4356,3314,1243,5,0,1,0,0,4
